,General features of the DNA,Species from which DNA originated,"Species to receive DNA, type of vector, and transformation method",id
239,"The DNA encodes telomere capping proteins (Cdc13, Stn1, Ten1), DNA replication proteins (Pol1, Pol12), and replication kinase Dbf4, Cdc7. Non-coding telomere repeat DNA will also be ""expressed"". The","Saccharomyces cerevisiae (a budding yeast, fungus). Plasmid DNA is also from E. coli (bacteria).","Standard transformation methods will be used: E. coli (chemically competent cells), S. cerevisiae (LiOAc transformation method). The S. cerevisiae strains are related to YPH499 and W303 standard lab",20180009
240,,Arabidopsis thaliana and Oryza sativa,Arabidopsis thaliana and Oryza sativa,20190037
241,,Arabidopsis thaliana and Oryza sativa,"E.Coli (strains DH5alpha, TOP10, ccdB survival) and Saccharomyces cerevisiae (YM4271 and AH109)",20190037
242,Use a CRISPR construct to transform rice and Arabidopsis. CAS9 protein being expressed by the Arabidopsis egg cell specific promoter (EC1) and Lachnospiraceae bacterium ND2006 Cpf1 endonuclease prot,E. Coli,"Arabidopsis thaliana floral dip transformation and Oryza sativa, callus cotransformation.",20190037
243,Genes for resistin-like molecules; genes for fluorescent tags and model antigens (e.g. ovalbumin; non-hazardous proteins used for detection).,"mouse, chicken, jelly-fish, human.","human cells, mouse cells, hamster cells, rat cells; lipid transfection.",2018005301
244,commercially available plasmids (e.g.. openbiosystem pCMVsport) with inserted gene of interest (Retnl; Retn),Mouse and human,cultured human cells (HEK293T) or insect cells,2018005301
245,"Neomycin phosphotransferase, Bar, Beta glucuronidase, and Hygromycin phosphotransferase.",,,20170037
246,"We produce a number of domains from proteins of interest. These are usual expressed with a 6xHis tag to allow purification. Typical expression uses vectors pET32a, pET15b, pET28a, pGEX-4T1, or pGEX-",Most our our DNA is synthetic and encodes for human or mouse proteins or protein domains.,E. coli strains: BL21(DE3) BL21(DE3)-pLysS BL21 Star-pLysS BL21-SI BL21-AI Tuner Tuner pLysS Origami Origami B Origami B pLysS Rosetta Rosetta pLysS Rosetta-gami-pLysS BL21,20180055
247,"DNA encodes proteins for structural biochemistry studies. These proteins are largely focused on the signal transduction pathways, including kinases, GTPases, components of the sumo and ubiquitin ligas","I have multiple ongoing projects, where we may try several species to see which produces the best behaved proteins for structural studies. In particular, human proteins, yeast proteins, and plant (ara","E. coli: Heat shock - Bl21 DE3 strains - RIL, PLysS, Rosetta, all commercially available, standard strains.",20170042
248,"Streptococcal cysteine proteinase being expressed in pET vector, under the control of IPTG inducible T7 promoter.",Streptococcus pyogenes,"E. coli: Heast shock - Bl21 DE3 strains - RIL, PlysS, Rosetta, all commerically available, standard strains.",20170042
249,Muscarinic toxin 7 (MT7  m1-toxin 1) DNA has been isolated from the venom of the green mamba (Dendroaspis angusticeps).,Dendroaspis agusticeps (green mamba snake),"E. coli: Heat shock - Bl21 DE3 strains - RIL, PlysS, Rosetta, all commerically available, standard strains.",20170042
250,"Human proteins involved in macular degeneration, (related to signal transduction and immune system), C3d protein and Htra-1 protein",homo sapiens,"E. coli: Heat shock - Bl21 DE3 strains - RIL, PlysS, Rosetta, all commerically available, standard strains.",20170042
251,A cDNA copy to a given viral mRNA is subcloned/inserted into a binary vector under the control of the cauliflower mosaic virus 35S promoter (referred to as T-DNA). The T-DNA construct is then transfor,Brome mosaic virus,"pCass binary vector, transferred into agrobacterium by freeze-thaw method",20180002
252,"Fluorescent markers, selectable resistance markers (e.g. kanamycin, hygromycin, glufosinate) in maize and Arabidopsis","Streptomyces hygroscopicus (bacterium), Cauliflower mosaic caulimovirus (promoter only, plant virus), Glycine max (plant), Zea mays (plant), Arabidopsis thaliana (plant), and jellyfish and sea anemone",Maize and Arabidopsis thaliana. Transformed using disarmed Agrobacterium tumefaciens that has no capability of causing crown gall disease.,20170012
253,Genes thought to be involved in cell division from Zea mays (plant)and Arabidopsis thaliana (plant),Zea mays (plant)and Arabidopsis thaliana (plant),Maize and Arabidopsis thaliana. Transformed using disarmed Agrobacterium tumefaciens that has no capability of causing crown gall disease.,20170012
254,"PROMOTERS OF GENES, CODING REGIONS OF GENES, AND NON-CODING DNA FRAGMENTS. THESE GENES DO NOT ENCODE FOR TOXINS, AND USUALLY COMPRISE OF CHEMOSENSORY RECEPTORS, TRANSCRIPTION FACTORS, EPIGENETIC REGULATORS, CHANNELS, GRCRS, REPORTER PROTEINS (like Green Fluorescent Protein variants)","DIPTERAN INSECTS SUCH AS DROSOPHILA (FRUIT FLIES), LUTZOMYA (SAND FLIES), GLOSSINA (TSETSE FLIES), MUSCA DOMESTICA (HOUSE FLIES); ANOPHELES, AEDES, CULEX (MOSQUITOES); HARPEGNATHUS, CAMPONOTUS (ANTS); DIAPHORINA CITRI (PSYLLID); MOTHS; VERTEBRATES","E. COLI, YEAST, DROSOPHILA, AEDES, ANOPHELESE, MUSCA DOMESTICA,",2018000401
255,"DNA encodes a hM4D(Gi)-mCherry fusion protein; this is a modified human muscarinic receptor with a fluorescent reporter. The protein will be expressed in neurons, and is CRE recombinase dependent.",human,DNA will be expressed in mice. The DNA will be delivered via a replication incompetent adeno-associated virus,20190014
256,DNA encodes a hM4D-(Gi)-mCherry fusion protein. This is a modified human muscarinic receptor with a fluorescent tag. The DNA will be expressed in neurons.,human,pallid bat (Antrozous pallidus). DNA will be delivered by a replication incompetent adeno-associated virus,20190015
257,"genomic DNA, cDNA, viral DNA, plasmid DNA. Genes are those involved in vitellogenesis and immunity. And reporter genes, such as GFP.","Aedea aegypti, Drosophila melanogaster, Anopheles gambiae, Trichoplusia ni, Musca domestica, Aequora victoria, E.coli, S.cerevisiae","E. coli, yeast, insect cell lines, Aedea aegypti,Anopheles gambiae. Vectors for rDNA to be: commercially available bacteriophage and plasmid vectors, commercially available baculovirus and yeast vect",20190013
258,"Cas-adaptor proteins, expressed under CMV promoter",Human and Mouse,"Mouse neuronal primary cultures, lipofectamine transfection of Recombinant plasmid DNA;Mouse neuronal primary cultures, infection with replication-deficient lentivirus; Human HeK 293T cell line, lipo",20170021
259,"Ribosomal protein RPL22, expressed under human synapsin promoter activated in a Cre recombinase dependent manner",Human,"Mouse neuronal primary cultures, lipofectamine transfection of Recombinant plasmid DNA; Neuro2A cell line, metafecten transaction with Recombinant plasmid DNA; Mouse neurons in vivo, in utero electro",20170021
260,Cre recombinase; expressed under Chicken-Beta actin:CMV promoter (Caggs),P1 Phage,"Mouse neuronal primary cultures, lipofectamine transfection of Recombinant plasmid DNA;Mouse neuronal primary cultures, infection with replication-deficient lentivirus; Human HeK 293T cell line, lipo",20170021
261,Beta-Chimaerin; expressed un CMV/Caggs promoter,Mouse and Human,"Mouse neuronal primary cultures, lipofectamine transfection of Recombinant plasmid DNA;Mouse neuronal primary cultures, infection with replication-deficient lentivirus; Human HeK 293T cell line, lipo",20170021
262,"For VIGS, pseudorecombinant CMV, and recombinant BPMV and ALSV as vectors with Chalcone synthase 7 gene and Phytoene desaturase 3' portion exon fragments for gene silencing protocol tests in cowpea. F","Glycine max (soybean), Vigna unguiculata (cowpea); Cucumber Mosaic Virus (vector); Bean Pod Mottle Virus (vector); Apple Latent Spherical Virus (vector)",Vigna unguiculata (cowpea). Virus (CMV or BpMV or ALSV) vector mechanical leaf infection or Agrobacterium infection-based transformation via agro-infiltration.,20180001
263,genomic DNA libraries,Citrus spp and closely related genera,E. coli. plasmids. heat shock or electroporation.,2018005401
264,PCR products of genes and genomic DNA - no expression expected,"Citrus spp., Poncirus trifoliata",E. coli. plasmids. heat shock or electroporation,2018005401
265,PCR products of genes and genomic DNA - no expression expected,Candidatus Liberibacter asiaticus,E. coli. plasmids. heat shock or electroporation,2018005401
266,PCR products of genes and genomic DNA - no expression expected,"Citrus spp., Poncirus trifolita, Eremocitrus spp., Microcitrus spp., Asparagus officinalis, Liberibacter gene fragments (non-infectious)","E. coli, plasmids, heat shock or electroporation",2018005401
267,"DNA encodes Moro orange MybA (anthocyanin marker) under a fruit promoter, CodA:NPT II for negative selection with ubiquitin promoter, Arabidopsis FT gene with NOS promoter and terminator, and Neo/KanR","Citrus sinensis, Arabidopsis thaliana","Citrus aurantifolia (Mexican lime), transformed by Agrobacterium. Transgenic plants already produced by USDA lab in Albany, CA",2018005401
268,"antibiotic resistance markers- kanamycin, gentamycin, ampicillin, tetracycline",Escherichia coli,"E. coli (cloning strains), Xylella fastidiosa, Pantoea stewartii subsp. stewartii",2018001901
269,Bt toxin (protein),Bacillus thuringensis,Spiroplasma citri,2018001901
270,The DNA expresses genes for fluorescent proteins.,"Jellyfish, Coral",Bradyrhizobium japonicum,20190043
271,DNA that expressed antibiotic resistance.,Escherichia coli,Mesorhizobium loti; resistant bacteria will be received from another lab. We will not be generating any resistant bacteria ourselves.,20190043
272,DNA that expresses the beneficial symbiotic association with plants.,Bradyrhizobium and Mesorhizobium,Bradyrhizobium and Mesorhizobium,20190043
273,Cultured Ovarian cells,Humans,already modified by collaborator; we are not modifying anything,20190036
274,HNF4 encodes a transcription factor in teh nuclear receptor superfamily,rat,Insect cells (SF21 and Tn5) via baculovirus infection,2018001401
275,"GFP, RFP and other fluorescent protein tags",fluorescent proteins are from plants,See cell lines in section 6,2018001401
276,"GST-, His-, MBP- and other tagged fusion proteins of HNF4, other nuclear receptors, transcription factors (e.g., p53, TCFs, c-Myc, etc.) and co-regulators (p300, GRIP1, SMRT, Mediator, TBP, PGC1, etc","human, mouse, rat",E.coli K-12 BL21 cells via transformation,2018001401
277,"HNF4, other nuclear receptors and co-regulators","human, mouse and rat","human embryonic kidney cells (293, 293T), human hepatoblastoma/hepatocellular carcinoma cells (HepG2, Hep3B), colon cancer (HCT116, CaCo2, SW640, SW480, HT29,etc) transiently via adenovirus and lentiv",2018001401
278,"HNF4 and other nuclear receptors, transcription factors and co-regulators","human,mouse, rat, Drosophila, Nemastella, Trichoplax adhaerens (early metazoan), Nematostella vectensis (sea anemone), Mnemiopsis leidyi (type of jelly fish) and potentially other metazoan organisms","SV40-transformed monkey kidney cells (COS-7), human embryonic kidney cells (293 and 293T cells), human hepatoblastoma/hepatocellular carcinoma cell lines (HepG2, Hep3B), human colon carcinoma cell lin",2018001401
279,"Protein kinases (e.g., Src, PKC, AMPK, AMPK, etc.)","human, mouse, rat","SV40-transformed monkey kidney cells (COS-7), human embryonic kidney cells (293 and 293T cells), human hepatoblastoma/hepatocellular carcinoma cell lines (HepG2, Hep3B), human colon carcinoma cell li",2018001401
280,Luciferase promoter constructs containing various native and heterologous promoter sequences driving the expression of luciferase; transfection control plasmid -- beta galactosidase driven by viral,luciferase from firefly; Renilla from sea pansy,See human and other mammalian cell lines in section 6,2018001401
281,"Transcription factors (e.g., p53, RXR, RAR, PPAR, Myc, LEF/TCF, etc.), Co-regulators (e.g., SMRT, p300, CBP, Mediator complex components, STAGA components, PGC1, TAF components,etc.), kinases (PKC, Sr","Human, mouse, rat","Human, mouse and primate cell lines described in Section 6",2018001401
282,"The DNA exists in the form of plasmid, which encodes a protein product, and an anbiotic marker for selective growth. The plasmid also contains an origin of replication for its propagation in E. Coli.",E. Coli,"Various strains of E. Coli, transformed by electroporation or chemical methods.",20170029
283,"LOB-Domain genes encoding transcription factors. Being expressed under ubiquitous promoter, or in specific domains under Alc-inducible system",Arabidopsis thaliana,"Constructs will be generated and propagated in E. coli, then introduced into Arabidopsis via Agrobacterium tumefaciens GV3101-mediated transformation using binary T-DNA plasmid.",20170009
284,"MYB-Domain genes encoding transcription factors. Being expressed under ubiquitous promoter, or in specific domains under Alc-inducible system",Arabidopsis thaliana,"Constructs will be generated and propagated in E. coli, then introduced into Arabidopsis via Agrobacterium tumefaciens GV3101-mediated transformation using binary T-DNA plasmid",20170009
285,"AlcR transcription factor, expressed under control of various tissue-specific promoters for induction of LBD or MYB gene expression in specific domains.",Aspergillus nidulans,"Constructs will be generated and propagated in E. coli, then introduced into Arabidopsis via Agrobacterium tumefaciens GV3101-mediated transformation using binary T-DNA plasmid",20170009
286,beta-glucuronidase (GUS),bacteria,"Constructs will be generated and propagated in E. coli, then introduced into Arabidopsis via Agrobacterium tumefaciens GV3101-mediated transformation using binary T-DNA plasmid",20170009
287,green fluorescent protein (GFP),Jelly fish,"Constructs will be generated and propagated in E. coli, then introduced into Arabidopsis via Agrobacterium tumefaciens GV3101-mediated transformation using binary T-DNA plasmid",20170009
288,"BAS1, encodes a cytochrome p450 enzyme that inactivates the hormone brassinosteroid. Will be expressed under the Arabidopsis LOB promoter, which drives expression in the rice blade-sheath junction.",Arabidopsis,"Constructs will be generated and propagated in E. coli, then introduced into Oryza sativa via Agrobacterium tumefaciens GV3101-mediated transformation using binary T-DNA plasmid.",20170009
289,"Genes encoding transcription factors, signaling proteins, and other components of plant development","Arabidopsis, rice, tomato, maize, bacteria, Brachypodium distachyon","Arabidopsis, rice, Brachypodium distachyon, tomato, maize, E. coli, Agrobacterium tumefaciens. Constructs will be generated and propagated in E. coli, then introduced into Arabidopsis via Agrobacteriu",20170009
290,"One gene encodes Fig-alpha and other genes are involved in regulating pluripotency, cellular differentiation and development.",Mouse and human,Mouse and human cell lines.,20180012
291,Genes in involved in cell stress responses.,human and mouse,cell lines mouse and human cells,20180012
292,The DNA encodes inducible response elements which can fluorescently report if a certain cell stress pathway is being activated. No protein product is being expressed.,Response elements were made synthetically.,Human and mouse cultured cells will receive DNA using a lentivirus. Transformation will be done by adding virus to the cultures.,20180012
293,"Selected proteins of graft transmissible pathogens of citrus. Including viruses, spiroplasmas, phytoplasmas, bacteria, and fungi.","Various graft transmissible pathogens of citrus. Including viruses, viroids, spiroplasmas, phytoplasmas, bacteria, and fungi.",E. coli,20190008
294,Create a partial or full length plant pathogens including plant viruses and/or plant viroids,"Various graft transmissible pathogens of citrus. Including viruses, viroids, spiroplasmas, phytoplasmas, bacteria, and fungi",Cultured transformed E. coli harboring recombinant plasmid,20190008
295,Translational-blocking and splice-blocking morpholino (MO) antisense oligos,Zebrafish,Microinjection into one-to-four-cell-stage zebrafish embryos,2018002501
296,"human RXRa, RARa, and PPAR? expression vectors (Origene)",Human,293 [HEK­293] (ATCC® CRL­ 1573TM) cells,2018002501
297,"human RXRa, RARa, and PPAR? expression vectors (Origene)",Human,293 [HEK­293] (ATCC® CRL­ 1573TM) cells,2018002501
298,human pparg-specific siRNA,Human,Hep G2 [HEPG2] (ATCC® HB-8065),2018002501
299,Recombinant protein hormones,Human,yeast using commercial system(New England Biolabs),20170043
300,"The DNA encodes hormones, hormone receptors, signaling molecules, promoter regions of genes plus all of these with luciferase and fluorescent tags,","human, rat, mouse,cow","Mostly E coli transformation either by itself to produce recombinant proteins or to grow up plasmid for eventual transfection into human, mouse or rat cells, the latter to use lipofectamine or similar",20170043
301,"insect-induced cDNAs, inducible expression",Solanum lycopersicum (tomato); Arabidopsis thaliana; Cucurbita pepo (Squash),Constructs will be shuttled into E coli (Ca-mediated transformation or electroporation),20170018
302,insect-response cDNA reporter fusions expressed with CaMV 35S promoter or its own promoter and UTR.,Solanum lycopersicum (tomato); Arabidopsis thaliana; Cucurbita pepo (Squash); Manihot esculenta (cassava),Constructs will be shuttled into Ecoli (Ca-mediated transformation or electroporation)to Agrobacterium(electroporation) to plants by floral dip (Arabidopsis) or cotyledon transformation or particle bo,20170018
303,cDNAs or cDNA-reporter fusions will be expressed with the Cauliflower mosaic virus 35S promoter or native promoters and UTRs.,Solanum lycopersicum (tomato); Arabidopsis thaliana;Manihot esculentum (cassava); Medicago sativa (alfalfa);,"Constructs shuttled into E. coli (Ca mediated Transformation of plasmid DNA to Agrobacterium (electroporation) to plants (floral dip)for Arabidopsis or cotyledon transformation (tomato, alfalfa, cassa",20170018
304,insect-response promoters will be fused with reporter genes to monitor promoter activity,Solanum lycopersicum (tomato); Arabidopsis thaliana;Manihot esculentum (cassava); Medicago sativa (alfalfa);,"Constructs will be shuttled into Ecoli (Ca-mediated transformation or electroporation)to Agrobacterium(electroporation) to plants by floral dip (Arabidopsis) or cotyledon transformation (tomato, alfal",20170018
305,cDNAs over-expressed using bacterial or yeast promoters,Solanum lycopersicum (tomato); Arabidopsis thaliana;Manihot esculentum (cassava); Medicago sativa (alfalfa);,E.coli (Ca mediated transformation of plasmid DNA) or electroporation,20170018
306,"The DNAs will be constructed and microinjected in the Atkinson lab. The Walling lab will rear the transgenic insects. The DNAs used will be fluorescent protein reporters, Drosophila and whitefly promo","B. tabaci B, Drosophila, Housefly",B. tabaci B,20170018
307,"Plasmid DNA encodes green fluorescent protein (from jelly fish), human DNA cytosine methyltransferase I (DNMT1), high mobility group proteins, human translation initiation factor eIF5A, histone protei",Cultured human cells and mouse embryonic fibroblast cells,Cultured human cells and mouse embryonic fibroblast cells. The transfection will be done by using Lipofectamine 2000.,20170014
308,"The DNA encode SV40 Large T antigen, human histone deacetylase 4, human RCC1, and related proteins will be handled. The first one is from virus. HDAC4 and RCC1 might be involved with cell cycle prog",SV40 virus (SV40 large T antigen) and human.,cultured human celles will receive the plasmid DNA and Lipofectamine 2000 will be used as transfection reagents.,20170014
309,"DNA repair proteins, translesion synthesis DNA polymerases, histone modifying enzymes, and DNA modifying enzymes. Some constructs encode fluorescent proteins or anti-biotic resistance genes.","Humans, mouse and jellyfish",Human cell lines and E. coli,20170014
